wl,log_gf,species,E_lower,gamma_rad,gamma_stark,vdW
4.996018419994359e-5,0.5419999957084656,Ce I,0.9649999737739563,9.308801968192089e8,9.545655907074916e-6,0.0
4.996165459064934e-5,0.12157212197780609,HMg,0.824999988079071,3.535414626920365e8,0.0,0.0
4.996239478733138e-5,0.23057211935520172,HMg,0.7799999713897705,4.5438865908664876e8,0.0,0.0
4.996458837020228e-5,-1.0,Ti I,2.25,3.090293803866819e8,1.5848924964027186e-6,2.3442288153199228e-8
4.996560664077395e-5,-0.6710000038146973,Ca I,4.763000011444092,2.4547108562064812e8,0.00014791086480080837,7.079457843841373e-8
4.9966485874401424e-5,0.24357210099697113,HMg,0.781000018119812,4.681190823839481e8,0.0,0.0
4.9966785954137814e-5,0.13557212054729462,HMg,0.824999988079071,3.65048987482561e8,0.0,0.0
4.996801528079149e-5,-1.7899999618530273,Fe I,4.260000228881836,1.0232935315766703e8,1.5135606501786491e-5,"(2.775082638542265e-14, 0.2799999999999727)"
4.997043992506343e-5,-1.1239999532699585,Ni I,3.634999990463257,1.819701817628807e8,0.00025118869830988676,"(2.3298372908851305e-14, 0.27800000000002)"
4.9972649512192337e-5,-2.4079999923706055,Fe I,4.230999946594238,3.019948537254365e8,1.9054616384945496e-5,3.0199517204020194e-8
4.9977238731639125e-5,-0.07814371585845947,OV,0.5680000185966492,2.2307639974543053e8,0.0,0.0
4.997727874227077e-5,-0.08514371514320374,OV,0.5680000185966492,2.195093036758588e8,0.0,0.0
4.99773087502445e-5,-0.09114371985197067,OV,0.5680000185966492,2.164972607893663e8,0.0,0.0
4.9977348760876156e-5,-0.09714371711015701,OV,0.5690000057220459,2.1352646647150606e8,0.0,0.0
4.9979293277574864e-5,-2.490999937057495,Fe I,4.185999870300293,1.513560650178649e7,8.511377017774278e-6,2.0417379446695274e-8
4.997974939877597e-5,-0.22014370560646057,OV,0.5120000243186951,1.6084590309940183e8,0.0,0.0
4.9979769404091807e-5,-0.22914370894432068,OV,0.5120000243186951,1.5754682394695735e8,0.0,0.0
4.9979789409407644e-5,-0.2381437122821808,OV,0.5120000243186951,1.5431541156781772e8,0.0,0.0
4.9979809414723496e-5,-0.2471437156200409,OV,0.5120000243186951,1.5115027806190497e8,0.0,0.0
4.9981631898996956e-5,-1.781000018119812,Fe I,4.6519999504089355,1.4791086480080837e8,2.5703948796691974e-5,4.78630092322638e-8
4.9982384098873025e-5,-0.8960000276565552,Ni I,3.634999990463257,1.7782794100389227e8,2.8840317564502843e-5,"(2.3270370056797396e-14, 0.27800000000002)"
4.9983090286522805e-5,-0.11914371699094772,OV,0.6190000176429749,2.029326531332947e8,0.0,0.0
4.9983200315760025e-5,-0.11314371973276138,OV,0.6190000176429749,2.0575482038141638e8,0.0,0.0
4.9983340352971046e-5,-0.10614372044801712,OV,0.6190000176429749,2.0909689527093843e8,0.0,0.0
4.998347038752415e-5,-0.10014371573925018,OV,0.6190000176429749,2.1200462205000567e8,0.0,0.0
4.9984280602816646e-5,-0.05214371532201767,OV,0.8090000152587891,2.367724948870489e8,0.0,0.0
4.9984907769469126e-5,-2.069999933242798,Ti I,0.0,7.943284091521297e6,7.762468779884148e-7,"(7.224735829908217e-15, 0.24200000000001864)"
4.998614109719278e-5,-0.005143715534359217,OV,0.7210000157356262,2.6381465706125516e8,0.0,0.0
4.99864011662992e-5,-0.00014371545694302768,OV,0.7210000157356262,2.668667099349613e8,0.0,0.0
4.9986661235405656e-5,0.004856284707784653,OV,0.7200000286102295,2.699540718586684e8,0.0,0.0
4.9986931307170046e-5,0.009856284596025944,OV,0.7200000286102295,2.73077041804644e8,0.0,0.0
4.998937995783503e-5,0.026000000536441803,Ti I,3.2149999141693115,1.0e8,5.370318199557904e-6,2.8840315031266057e-8
4.99911344240397e-5,-0.8830000162124634,Ti I,3.1040000915527344,4.7862990313698694e7,1.9054616384945496e-5,3.8018939632056126e-8
4.999356607018928e-5,-1.5670000314712524,Fe I,4.60699987411499,2.0892946627203616e8,4.365156980428764e-5,4.8977881936844667e-8
