Title: 18 Sco: a solar twin rich in refractory and neutron-capture elements. 
       Implications for chemical tagging. 
Authors: Melendez J., Ramirez I., Karakas A.I., Yong D., Monroe T.R., Bedell M.,
         Bergemann M., Asplund M., Maia M.T., Bean J., do Nascimento J.-D., 
         Bazot M., Alves-Brito A., Freitas F.C., Castro M. 
Table: Adopted atomic data and equivalent widths
================================================================================
Byte-by-byte Description of file: apj497906t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label    Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm  Wave     Wavelength in Angstroms
  11- 14 F4.1   ---    Ion      Ion numeric identifier (1)
  16- 21 F6.4   eV     ExPot    Excitation potential
  23- 28 F6.3   [-]    log(gf)  Log of the oscillator strength times 
                                 the statistical weight
  31- 38 E8.2   ---    C6       Damping constant 
  40- 44 F5.1   10-13m EW-18S   The 18 Sco differential equivalent width (2)
  46- 51 F6.2   10-13m EW-Sun   Solar differential equivalent width (2)
--------------------------------------------------------------------------------
Note (1): Where the number before the digit is the atomic number and the number
          after the digit is the ionization level, e.g. 26.1 = Fe II.
Note (2): In units of milli-Angstroms.
--------------------------------------------------------------------------------
 4758.120 22.0 2.2492  0.425  3.84e-32  45.2  45.2
 4759.272 22.0 2.2555  0.514  3.86e-32  47.1  46.9
 4820.410 22.0 1.5024 -0.439  3.78e-32  45.9  44.3
 4913.616 22.0 1.8731  0.161  3.86e-32  54.5  52.1
 5022.871 22.0 0.8258 -0.434  3.58e-32  73.0  72.6
 5113.448 22.0 1.443  -0.783  3.06e-32  28.6  27.5
 5147.479 22.0 0.0000 -2.012  2.08e-32  37.6  37.5
 5219.700 22.0 0.021  -2.292  2.08e-32  29.0  29.1
 5295.774 22.0 1.0665 -1.633  2.58e-32  13.6  13.3
 5490.150 22.0 1.460  -0.933  5.41e-32  22.9  22.1
 5739.464 22.0 2.249  -0.60   3.86e-32   8.7   8.5
 5866.452 22.0 1.066  -0.840  2.16e-32  48.6  48.0
 6091.174 22.0 2.2673 -0.423  3.89e-32  16.3  15.8
 6126.217 22.0 1.066  -1.424  2.06e-32  23.1  22.8
 6258.104 22.0 1.443  -0.355  4.81e-32  52.6  52.3
 6261.101 22.0 1.429  -0.479  4.68e-32  49.8  49.1
 4470.857 22.1 1.1649 -2.06   2.80e+00  64.8  64.0
 4544.028 22.1 1.2429 -2.53   2.80e+00  44.4  41.5
 4583.408 22.1 1.165  -2.87   2.80e+00  33.8  32.2
 4636.33  22.1 1.16   -3.152  2.80e+00  20.8  20.3
 4657.212 22.1 1.243  -2.47   2.80e+00  47.8  46.4
 4779.985 22.1 2.0477 -1.26   2.80e+00  65.8  64.9
 4865.611 22.1 1.116  -2.81   2.80e+00  41.5  40.3
 4874.014 22.1 3.095  -0.9    2.80e+00  37.9  36.7
 4911.193 22.1 3.123  -0.537  2.80e+00  53.8  52.7
 5211.54  22.1 2.59   -1.49   2.80e+00  35.1  33.5
 5336.778 22.1 1.582  -1.630  2.80e+00  73.8  72.2
 5381.015 22.1 1.565  -1.97   2.80e+00  62.2  60.1
 5418.767 22.1 1.582  -2.11   2.80e+00  51.1  49.1
 4875.486 23.0 0.040  -0.81   1.98e-32  46.1  46.6
 5670.85  23.0 1.080  -0.42   3.58e-32  19.6  19.7
 5727.046 23.0 1.081  -0.011  4.35e-32  40.2  40.1
 6039.73  23.0 1.063  -0.65   3.98e-32  13.5  13.0
 6081.44  23.0 1.051  -0.578  3.89e-32  14.2  14.4
 6090.21  23.0 1.080  -0.062  3.98e-32  34.4  34.6
 6119.528 23.0 1.064  -0.320  3.89e-32  21.9  21.8
 6199.20  23.0 0.286  -1.28   1.96e-32  13.7  13.8
 6251.82  23.0 0.286  -1.34   1.96e-32  14.4  14.9
