# H- single-photon single-electron photodetachment cross section
# McLaughlin, Stancil, Sadeghour, and Forrey, JPB, (2017)
# 
# Photon energy (eV)         Cross section (Mb)
  0.83311599999999997        8.2446848313398444     
  0.83447700000000002        8.4152701272693413     
  0.83583700000000005        8.5858715595825377     
  0.83719800000000000        8.7564795035930238     
  0.83855900000000005        8.9270741140965058     
  0.83991899999999997        9.0976158260475923     
  0.84128000000000003        9.2681048786991376     
  0.84263999999999994        9.4385015711374241     
  0.84400100000000000        9.6087765835307071     
  0.84536100000000003        9.7789296226089597     
  0.84672199999999997        9.9488919520389576     
  0.84808300000000003        10.118702832518911     
  0.84944299999999995        10.288322670858680     
  0.85080400000000000        10.457653167440890     
  0.85216400000000003        10.626792562142370     
  0.85352499999999998        10.795642560396068     
  0.85488500000000001        10.964202829562030     
  0.85624599999999995        11.132473644210179     
  0.85760700000000001        11.300356249865837     
  0.85896700000000004        11.467850449792277     
