A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
15 	B      	5  	10 	0.000   	              	28.958              	21        	10.18 MS 3               	0.0102                   	          	        	B-      	100.00      
15 	B      	5  	10 	0.000   	              	28.958              	21        	10.18 MS 3               	0.0102                   	          	        	BN      	99.60       
15 	B      	5  	10 	0.000   	              	28.958              	21        	10.18 MS 3               	0.0102                   	          	        	B2N     	&lt; 1.50      
16 	B      	5  	11 	0.0000  	0-            	37.113              	25        	190 PS LT                	1.9E-10                  	          	        	N       	            
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B-      	100.00      
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	BN      	63.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B2N     	12.00       
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B3N     	3.50        
17 	B      	5  	12 	0.0000  	(3/2-)        	43.72               	20        	5.08 MS 5                	0.00508                  	          	        	B4N     	0.40        
18 	B      	5  	13 	0.0000  	(4-)          	51.79               	20        	26 NS LT                 	2.6E-8                   	          	        	N       	?           
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	B3N     	&lt; 9.10      
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	B-      	100.00      
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	BN      	71.80       
19 	B      	5  	14 	0.000   	(3/2-)        	59.8                	5         	2.92 MS 13               	0.00292                  	          	        	B2N     	16.00       
