A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
147	Cs     	55 	92 	0.0000  	(3/2+)        	-51.920             	8         	0.230 S 1                	0.23                     	          	        	BN      	28.50       
147	Cs     	55 	92 	0.0000  	(3/2+)        	-51.920             	8         	0.230 S 1                	0.23                     	          	        	B-      	100.00      
148	Cs     	55 	93 	0.0000  	              	-46.911             	13        	146 MS 6                 	0.146                    	          	        	B-      	100.00      
148	Cs     	55 	93 	0.0000  	              	-46.911             	13        	146 MS 6                 	0.146                    	          	        	BN      	25.10       
149	Cs     	55 	94 	0.0000  	              	-43.2               	4         	50 MS GT                 	0.05                     	          	        	B-      	100.00      
149	Cs     	55 	94 	0.0000  	              	-43.2               	4         	50 MS GT                 	0.05                     	          	        	BN      	            
150	Cs     	55 	95 	0.0000  	              	-38.2               	4         	50 MS GT                 	0.05                     	          	        	B-      	100.00      
150	Cs     	55 	95 	0.0000  	              	-38.2               	4         	50 MS GT                 	0.05                     	          	        	BN      	?           
151	Cs     	55 	96 	0.0000  	              	-34.2               	5         	50 MS GT                 	0.05                     	          	        	B-      	100.00      
151	Cs     	55 	96 	0.0000  	              	-34.2               	5         	50 MS GT                 	0.05                     	          	        	BN      	            
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	10        	0.43 S +30-15            	0.43                     	          	        	EC      	99.10       
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	10        	0.43 S +30-15            	0.43                     	          	        	EP      	20.00       
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	10        	0.43 S +30-15            	0.43                     	          	        	A       	0.90        
114	Ba     	56 	58 	0.0000  	0+            	-45.91              	10        	0.43 S +30-15            	0.43                     	          	        	12C     	&lt; 0.0034    
115	Ba     	56 	59 	0.0000  	(5/2+)        	-49.02              	20        	0.45 S 5                 	0.45                     	          	        	EP      	&gt; 15.00     
115	Ba     	56 	59 	0.0000  	(5/2+)        	-49.02              	20        	0.45 S 5                 	0.45                     	          	        	EC      	100.00      
116	Ba     	56 	60 	0.0000  	0+            	-54.58              	20        	1.3 S 2                  	1.3                      	          	        	EC      	100.00      
116	Ba     	56 	60 	0.0000  	0+            	-54.58              	20        	1.3 S 2                  	1.3                      	          	        	EP      	3.00        
117	Ba     	56 	61 	0.0000  	(3/2)         	-57.5               	3         	1.75 S 7                 	1.75                     	          	        	EP      	&gt; 0.00      
117	Ba     	56 	61 	0.0000  	(3/2)         	-57.5               	3         	1.75 S 7                 	1.75                     	          	        	EC      	100.00      
117	Ba     	56 	61 	0.0000  	(3/2)         	-57.5               	3         	1.75 S 7                 	1.75                     	          	        	EA      	&gt; 0.00      
118	Ba     	56 	62 	0.0000  	0+            	-62.35              	20        	5.5 S 2                  	5.5                      	          	        	EC      	100.00      
118	Ba     	56 	62 	0.0000  	0+            	-62.35              	20        	5.5 S 2                  	5.5                      	          	        	EP      	            
119	Ba     	56 	63 	0.0000  	(5/2+)        	-64.59              	20        	5.4 S 3                  	5.4                      	          	        	EP      	&lt; 25.00     
119	Ba     	56 	63 	0.0000  	(5/2+)        	-64.59              	20        	5.4 S 3                  	5.4                      	          	        	EC      	100.00      
120	Ba     	56 	64 	0.0000  	0+            	-68.9               	3         	24 S 2                   	24                       	          	        	EC      	100.00      
121	Ba     	56 	65 	0.0000  	5/2(+)        	-70.74              	14        	29.7 S 15                	29.7                     	          	        	EC      	100.00      
122	Ba     	56 	66 	0.0000  	0+            	-74.61              	3         	1.95 M 15                	117                      	          	        	EC      	100.00      
123	Ba     	56 	67 	0.0000  	5/2(+)        	-75.655             	12        	2.7 M 4                  	162                      	          	        	EC      	100.00      
124	Ba     	56 	68 	0.0000  	0+            	-79.090             	12        	11.0 M 5                 	660                      	          	        	EC      	100.00      
125	Ba     	56 	69 	0.0000  	1/2(+)        	-79.669             	11        	3.3 M 3                  	198                      	          	        	EC      	100.00      
126	Ba     	56 	70 	0.0000  	0+            	-82.670             	12        	100 M 2                  	6000                     	          	        	EC      	100.00      
127	Ba     	56 	71 	0.0000  	1/2+          	-82.818             	11        	12.7 M 4                 	762                      	          	        	EC      	100.00      
128	Ba     	56 	72 	0.0000  	0+            	-85.378             	5         	2.43 D 5                 	209952                   	          	        	EC      	100.00      
129	Ba     	56 	73 	0.0000  	1/2+          	-85.063             	11        	2.23 H 11                	8028                     	          	        	EC      	100.00      
130	Ba     	56 	74 	0.0000  	0+            	-87.262             	3         	STABLE                   	infinity                 	0.106%    	1       	2EC     	            
131	Ba     	56 	75 	0.0000  	1/2+          	-86.684             	3         	11.50 D 6                	993600                   	          	        	EC      	100.00      
132	Ba     	56 	76 	0.0000  	0+            	-88.4350            	11        	3.0E+21 Y GT             	9.467E28                 	0.101%    	1       	2EC     	            
133	Ba     	56 	77 	0.0000  	1/2+          	-87.5536            	10        	10.551 Y 11              	3.33E8                   	          	        	EC      	100.00      
134	Ba     	56 	78 	0.0000  	0+            	-88.9499            	3         	STABLE                   	infinity                 	2.417%    	18      	        	            
135	Ba     	56 	79 	0.0000  	3/2+          	-87.8505            	3         	STABLE                   	infinity                 	6.592%    	12      	        	            
136	Ba     	56 	80 	0.0000  	0+            	-88.8869            	3         	STABLE                   	infinity                 	7.854%    	24      	        	            
137	Ba     	56 	81 	0.0000  	3/2+          	-87.7212            	3         	STABLE                   	infinity                 	11.232%   	24      	        	            
138	Ba     	56 	82 	0.0000  	0+            	-88.2616            	3         	STABLE                   	infinity                 	71.698%   	42      	        	            
139	Ba     	56 	83 	0.0000  	7/2-          	-84.9138            	3         	83.06 M 28               	4983.6                   	          	        	B-      	100.00      
140	Ba     	56 	84 	0.0000  	0+            	-83.269             	8         	12.7527 D 23             	1101833.28               	          	        	B-      	100.00      
141	Ba     	56 	85 	0.0000  	3/2-          	-79.733             	5         	18.27 M 7                	1096.2                   	          	        	B-      	100.00      
142	Ba     	56 	86 	0.0000  	0+            	-77.842             	6         	10.6 M 2                 	636                      	          	        	B-      	100.00      
143	Ba     	56 	87 	0.0000  	5/2-          	-73.937             	7         	14.5 S 3                 	14.5                     	          	        	B-      	100.00      
144	Ba     	56 	88 	0.0000  	0+            	-71.767             	7         	11.5 S 2                 	11.5                     	          	        	B-      	100.00      
145	Ba     	56 	89 	0.0000  	5/2-          	-67.516             	8         	4.31 S 16                	4.31                     	          	        	B-      	100.00      
146	Ba     	56 	90 	0.0000  	0+            	-64.947             	21        	2.22 S 7                 	2.22                     	          	        	B-      	100.00      
147	Ba     	56 	91 	0.0000  	(3/2-)        	-60.264             	20        	0.894 S 10               	0.894                    	          	        	B-      	100.00      
147	Ba     	56 	91 	0.0000  	(3/2-)        	-60.264             	20        	0.894 S 10               	0.894                    	          	        	BN      	0.06        
148	Ba     	56 	92 	0.0000  	0+            	-57.59              	6         	0.612 S 17               	0.612                    	          	        	B-      	100.00      
148	Ba     	56 	92 	0.0000  	0+            	-57.59              	6         	0.612 S 17               	0.612                    	          	        	BN      	0.40        
149	Ba     	56 	93 	0.0000  	              	-53.1               	4         	0.344 S 7                	0.344                    	          	        	B-      	100.00      
149	Ba     	56 	93 	0.0000  	              	-53.1               	4         	0.344 S 7                	0.344                    	          	        	BN      	0.43        
150	Ba     	56 	94 	0.0000  	0+            	-49.9               	3         	0.3 S                    	0.3                      	          	        	B-      	100.00      
150	Ba     	56 	94 	0.0000  	0+            	-49.9               	3         	0.3 S                    	0.3                      	          	        	BN      	?           
151	Ba     	56 	95 	0.0000  	              	-44.9               	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
151	Ba     	56 	95 	0.0000  	              	-44.9               	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
152	Ba     	56 	96 	0.0000  	0+            	-41.7               	4         	406 NS GT                	4.06E-7                  	          	        	B-      	100.00      
152	Ba     	56 	96 	0.0000  	0+            	-41.7               	4         	406 NS GT                	4.06E-7                  	          	        	BN      	?           
153	Ba     	56 	97 	0.0000  	              	-36.5               	4         	                         	                         	          	        	B-      	100.00      
117	La     	57 	60 	0.0000  	(3/2+,3/2-)   	-46.47              	20        	23.5 MS 26               	0.0235                   	          	        	P       	93.90       
117	La     	57 	60 	0.0000  	(3/2+,3/2-)   	-46.47              	20        	23.5 MS 26               	0.0235                   	          	        	EC      	6.10        
118	La     	57 	61 	0.0000  	              	-49.6               	3         	                         	                         	          	        	EC      	?           
119	La     	57 	62 	0.0000  	              	-54.8               	3         	                         	                         	          	        	EC      	?           
120	La     	57 	63 	0.0000  	              	-57.6               	3         	2.8 S 2                  	2.8                      	          	        	EP      	&gt; 0.00      
120	La     	57 	63 	0.0000  	              	-57.6               	3         	2.8 S 2                  	2.8                      	          	        	EC      	100.00      
121	La     	57 	64 	0.0000  	              	-62.2               	3         	5.3 S 2                  	5.3                      	          	        	EC      	100.00      
122	La     	57 	65 	0.0000  	              	-64.5               	3         	8.6 S 5                  	8.6                      	          	        	EC      	100.00      
122	La     	57 	65 	0.0000  	              	-64.5               	3         	8.6 S 5                  	8.6                      	          	        	EP      	            
123	La     	57 	66 	0.0000  	              	-68.65              	20        	17 S 3                   	17                       	          	        	EC      	100.00      
124	La     	57 	67 	0.0000  	(8-)          	-70.26              	6         	29.21 S 17               	29.21                    	          	        	EC      	100.00      
124	La     	57 	67 	0.0000  	              	-70.26              	6         	21 S 4                   	21                       	          	        	EC      	100.00      
125	La     	57 	68 	0.0000  	(3/2+)        	-73.76              	3         	64.8 S 12                	64.8                     	          	        	EC      	100.00      
126	La     	57 	69 	0.0000  	(5+)          	-74.97              	9         	54 S 2                   	54                       	          	        	EC      	&gt; 0.00      
126	La     	57 	69 	0.0000  	(0-,1,2-)     	-74.97              	9         	50 S LT                  	50                       	          	        	EC      	            
126	La     	57 	69 	0.0000  	(0-,1,2-)     	-74.97              	9         	50 S LT                  	50                       	          	        	IT      	            
127	La     	57 	70 	0.0000  	(11/2-)       	-77.90              	3         	5.1 M 1                  	306                      	          	        	EC      	100.00      
128	La     	57 	71 	0.0000  	(5+)          	-78.63              	5         	5.18 M 14                	310.8                    	          	        	EC      	100.00      
128	La     	57 	71 	0.0000  	(1+,2-)       	-78.63              	5         	1.4 M LT                 	84                       	          	        	EC      	100.00      
129	La     	57 	72 	0.0000  	(3/2+)        	-81.325             	21        	11.6 M 2                 	696                      	          	        	EC      	100.00      
130	La     	57 	73 	0.0000  	3(+)          	-81.63              	3         	8.7 M 1                  	522                      	          	        	EC      	100.00      
131	La     	57 	74 	0.0000  	3/2+          	-83.77              	3         	59 M 2                   	3540                     	          	        	EC      	100.00      
132	La     	57 	75 	0.0000  	2-            	-83.72              	4         	4.8 H 2                  	17280                    	          	        	EC      	100.00      
133	La     	57 	76 	0.0000  	5/2+          	-85.49              	3         	3.912 H 8                	14083.2                  	          	        	EC      	100.00      
134	La     	57 	77 	0.0000  	1+            	-85.219             	20        	6.45 M 16                	387                      	          	        	EC      	100.00      
135	La     	57 	78 	0.0000  	5/2+          	-86.643             	9         	19.5 H 2                 	70200                    	          	        	EC      	100.00      
136	La     	57 	79 	0.0000  	1+            	-86.04              	5         	9.87 M 3                 	592.2                    	          	        	EC      	100.00      
137	La     	57 	80 	0.0000  	7/2+          	-87.1407            	17        	6E+4 Y 2                 	1.893E12                 	          	        	EC      	100.00      
138	La     	57 	81 	0.0000  	5+            	-86.519             	3         	1.02E+11 Y 1             	3.219E18                 	0.08881%  	71      	EC      	65.60       
138	La     	57 	81 	0.0000  	5+            	-86.519             	3         	1.02E+11 Y 1             	3.219E18                 	0.08881%  	71      	B-      	34.40       
139	La     	57 	82 	0.0000  	7/2+          	-87.2262            	20        	STABLE                   	infinity                 	99.9119%  	71      	        	            
140	La     	57 	83 	0.0000  	3-            	-84.3159            	20        	1.67855 D 12             	145026.72                	          	        	B-      	100.00      
141	La     	57 	84 	0.0000  	(7/2+)        	-82.932             	4         	3.92 H 3                 	14112                    	          	        	B-      	100.00      
142	La     	57 	85 	0.0000  	2-            	-80.024             	6         	91.1 M 5                 	5466                     	          	        	B-      	100.00      
143	La     	57 	86 	0.0000  	(7/2)+        	-78.172             	7         	14.2 M 1                 	852                      	          	        	B-      	100.00      
144	La     	57 	87 	0.0000  	(3-)          	-74.850             	13        	40.8 S 4                 	40.8                     	          	        	B-      	100.00      
145	La     	57 	88 	0.0000  	(5/2+)        	-72.835             	12        	24.8 S 20                	24.8                     	          	        	B-      	100.00      
146	La     	57 	89 	0.0000  	2-            	-69.05              	3         	6.27 S 10                	6.27                     	          	        	B-      	100.00      
146	La     	57 	89 	0.0000  	(6-)          	-69.05              	3         	10.0 S 1                 	10                       	          	        	B-      	100.00      
147	La     	57 	90 	0.0000  	(3/2+)        	-66.678             	11        	4.06 S 4                 	4.06                     	          	        	B-      	100.00      
147	La     	57 	90 	0.0000  	(3/2+)        	-66.678             	11        	4.06 S 4                 	4.06                     	          	        	BN      	0.04        
148	La     	57 	91 	0.0000  	(2-)          	-62.709             	19        	1.26 S 8                 	1.26                     	          	        	B-      	100.00      
148	La     	57 	91 	0.0000  	(2-)          	-62.709             	19        	1.26 S 8                 	1.26                     	          	        	BN      	0.15        
149	La     	57 	92 	0.0000  	(3/2-)        	-60.22              	20        	1.05 S 3                 	1.05                     	          	        	B-      	100.00      
149	La     	57 	92 	0.0000  	(3/2-)        	-60.22              	20        	1.05 S 3                 	1.05                     	          	        	BN      	1.43        
150	La     	57 	93 	0.0000  	(3+)          	-56.1               	4         	0.59 S 11                	0.59                     	          	        	BN      	2.70        
150	La     	57 	93 	0.0000  	(3+)          	-56.1               	4         	0.59 S 11                	0.59                     	          	        	B-      	100.00      
151	La     	57 	94 	0.0000  	              	-53.3               	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
151	La     	57 	94 	0.0000  	              	-53.3               	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
152	La     	57 	95 	0.0000  	              	-49.3               	3         	150 NS GT                	1.5E-7                   	          	        	B-      	100.00      
153	La     	57 	96 	0.0000  	              	-46.1               	3         	100 NS GT                	1.0000000000000001E-7    	          	        	B-      	100.00      
154	La     	57 	97 	0.0000  	              	-41.5               	3         	                         	                         	          	        	B-      	100.00      
121	Ce     	58 	63 	0.0000  	(5/2)         	-52.7               	4         	1.1 S 1                  	1.1                      	          	        	EC      	100.00      
121	Ce     	58 	63 	0.0000  	(5/2)         	-52.7               	4         	1.1 S 1                  	1.1                      	          	        	EP      	~ 1.00      
122	Ce     	58 	64 	0.0000  	0+            	-57.9               	4         	                         	                         	          	        	EP      	            
122	Ce     	58 	64 	0.0000  	0+            	-57.9               	4         	                         	                         	          	        	EC      	            
123	Ce     	58 	65 	0.0000  	(5/2)         	-60.3               	3         	3.8 S 2                  	3.8                      	          	        	EC      	100.00      
123	Ce     	58 	65 	0.0000  	(5/2)         	-60.3               	3         	3.8 S 2                  	3.8                      	          	        	EP      	&gt; 0.00      
124	Ce     	58 	66 	0.0000  	0+            	-64.9               	3         	6 S 2                    	6                        	          	        	EC      	100.00      
125	Ce     	58 	67 	0.0000  	(7/2-)        	-66.66              	20        	9.7 S 3                  	9.7                      	          	        	EP      	            
125	Ce     	58 	67 	0.0000  	(7/2-)        	-66.66              	20        	9.7 S 3                  	9.7                      	          	        	EC      	100.00      
126	Ce     	58 	68 	0.0000  	0+            	-70.82              	3         	51.0 S 3                 	51                       	          	        	EC      	100.00      
127	Ce     	58 	69 	0.0000  	(1/2+)        	-71.98              	3         	34 S 2                   	34                       	          	        	EC      	100.00      
128	Ce     	58 	70 	0.0000  	0+            	-75.53              	3         	3.93 M 2                 	235.8                    	          	        	EC      	100.00      
129	Ce     	58 	71 	0.0000  	5/2+          	-76.29              	3         	3.5 M 3                  	210                      	          	        	EC      	100.00      
130	Ce     	58 	72 	0.0000  	0+            	-79.42              	3         	22.9 M 5                 	1374                     	          	        	EC      	100.00      
131	Ce     	58 	73 	0.0000  	7/2+          	-79.71              	3         	10.3 M 3                 	618                      	          	        	EC      	100.00      
132	Ce     	58 	74 	0.0000  	0+            	-82.471             	20        	3.51 H 11                	12636                    	          	        	EC      	100.00      
133	Ce     	58 	75 	0.0000  	1/2+          	-82.418             	16        	97 M 4                   	5820                     	          	        	EC      	100.00      
134	Ce     	58 	76 	0.0000  	0+            	-84.833             	20        	3.16 D 4                 	273024                   	          	        	EC      	100.00      
135	Ce     	58 	77 	0.0000  	1/2(+)        	-84.616             	10        	17.7 H 3                 	63720                    	          	        	EC      	100.00      
136	Ce     	58 	78 	0.0000  	0+            	-86.5084            	4         	0.7E+14 Y GT             	2.209E21                 	0.185%    	2       	2EC     	            
137	Ce     	58 	79 	0.0000  	3/2+          	-85.9186            	4         	9.0 H 3                  	32400                    	          	        	EC      	100.00      
138	Ce     	58 	80 	0.0000  	0+            	-87.571             	5         	0.9E+14 Y GE             	2.84E21                  	0.251%    	2       	2EC     	100.00      
139	Ce     	58 	81 	0.0000  	3/2+          	-86.948             	7         	137.641 D 20             	1.189E7                  	          	        	EC      	100.00      
140	Ce     	58 	82 	0.0000  	0+            	-88.0761            	16        	STABLE                   	infinity                 	88.450%   	51      	        	            
141	Ce     	58 	83 	0.0000  	7/2-          	-85.4329            	16        	32.511 D 13              	2808950.4                	          	        	B-      	100.00      
142	Ce     	58 	84 	0.0000  	0+            	-84.533             	3         	5E+16 Y GT               	1.578E24                 	11.114%   	51      	2B-     	            
143	Ce     	58 	85 	0.0000  	3/2-          	-81.607             	3         	33.039 H 6               	118940.4                 	          	        	B-      	100.00      
144	Ce     	58 	86 	0.0000  	0+            	-80.432             	3         	284.91 D 5               	2.462E7                  	          	        	B-      	100.00      
145	Ce     	58 	87 	0.0000  	(5/2-)        	-77.07              	3         	3.01 M 6                 	180.6                    	          	        	B-      	100.00      
146	Ce     	58 	88 	0.0000  	0+            	-75.635             	16        	13.49 M 16               	809.4                    	          	        	B-      	100.00      
147	Ce     	58 	89 	0.0000  	(5/2-)        	-72.014             	9         	56.4 S 10                	56.4                     	          	        	B-      	100.00      
148	Ce     	58 	90 	0.0000  	0+            	-70.398             	11        	56.8 S 3                 	56.8                     	          	        	B-      	100.00      
149	Ce     	58 	91 	0.0000  	(3/2-)        	-66.670             	10        	5.3 S 2                  	5.3                      	          	        	B-      	100.00      
150	Ce     	58 	92 	0.0000  	0+            	-64.847             	12        	4.0 S 6                  	4                        	          	        	B-      	100.00      
151	Ce     	58 	93 	0.0000  	(5/2+)        	-61.225             	18        	1.76 S 6                 	1.76                     	          	        	B-      	100.00      
151	Ce     	58 	93 	0.0000  	              	-61.225             	18        	1.02 S 6                 	1.02                     	          	        	B-      	100.00      
152	Ce     	58 	94 	0.0000  	0+            	-58.98              	20        	1.4 S 2                  	1.4                      	          	        	B-      	100.00      
153	Ce     	58 	95 	0.0000  	              	-54.91              	20        	100 NS GT                	1.0000000000000001E-7    	          	        	B-      	100.00      
154	Ce     	58 	96 	0.0000  	0+            	-52.22              	20        	100 NS GT                	1.0000000000000001E-7    	          	        	B-      	100.00      
155	Ce     	58 	97 	0.0000  	              	-47.8               	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
121	Pr     	59 	62 	0.0000  	(3/2)         	-41.4               	5         	10 MS +6-3               	0.01                     	          	        	P       	100.00      
122	Pr     	59 	63 	0.0000  	              	-44.8               	5         	0.5 S AP                 	0.5                      	          	        	EC      	?           
123	Pr     	59 	64 	0.0000  	              	-50.2               	4         	0.8 S AP                 	0.8                      	          	        	EC      	            
124	Pr     	59 	65 	0.0000  	              	-53.2               	4         	1.2 S 2                  	1.2                      	          	        	EP      	&gt; 0.00      
124	Pr     	59 	65 	0.0000  	              	-53.2               	4         	1.2 S 2                  	1.2                      	          	        	EC      	100.00      
125	Pr     	59 	66 	0.0000  	              	-57.9               	3         	3.3 S 7                  	3.3                      	          	        	EC      	100.00      
125	Pr     	59 	66 	0.0000  	              	-57.9               	3         	3.3 S 7                  	3.3                      	          	        	EP      	            
126	Pr     	59 	67 	0.0000  	&gt;3            	-60.32              	20        	3.14 S 22                	3.14                     	          	        	EC      	100.00      
126	Pr     	59 	67 	0.0000  	&gt;3            	-60.32              	20        	3.14 S 22                	3.14                     	          	        	EP      	            
127	Pr     	59 	68 	0.0000  	              	-64.54              	20        	4.2 S 3                  	4.2                      	          	        	EC      	100.00      
128	Pr     	59 	69 	0.0000  	4,5,6         	-66.33              	3         	2.85 S 9                 	2.85                     	          	        	EC      	100.00      
129	Pr     	59 	70 	0.0000  	(3/2+)        	-69.77              	3         	30 S 4                   	30                       	          	        	EC      	100.00      
130	Pr     	59 	71 	0.0000  	(7,8)         	-71.18              	6         	40 S 4                   	40                       	          	        	EC      	100.00      
130	Pr     	59 	71 	0.0000  	(4+,5+)       	-71.18              	6         	40 S 4                   	40                       	          	        	EC      	100.00      
130	Pr     	59 	71 	0.0000  	(2+)          	-71.18              	6         	40 S 4                   	40                       	          	        	EC      	100.00      
131	Pr     	59 	72 	0.0000  	(3/2+)        	-74.30              	5         	1.51 M 2                 	90.6                     	          	        	EC      	100.00      
132	Pr     	59 	73 	0.0000  	(2)+          	-75.23              	3         	1.6 M 3                  	96                       	          	        	EC      	100.00      
133	Pr     	59 	74 	0.0000  	(3/2+)        	-77.938             	12        	6.5 M 3                  	390                      	          	        	EC      	100.00      
134	Pr     	59 	75 	0.0000  	(6-)          	-78.528             	20        	11 M AP                  	660                      	          	        	EC      	100.00      
134	Pr     	59 	75 	0.0000  	2-            	-78.528             	20        	17 M 2                   	1020                     	          	        	EC      	100.00      
135	Pr     	59 	76 	0.0000  	3/2(+)        	-80.936             	12        	24 M 1                   	1440                     	          	        	EC      	100.00      
136	Pr     	59 	77 	0.0000  	2+            	-81.340             	11        	13.1 M 1                 	786                      	          	        	EC      	100.00      
137	Pr     	59 	78 	0.0000  	5/2+          	-83.202             	8         	1.28 H 3                 	4608                     	          	        	EC      	100.00      
138	Pr     	59 	79 	0.0000  	1+            	-83.134             	11        	1.45 M 5                 	87                       	          	        	EC      	100.00      
139	Pr     	59 	80 	0.0000  	5/2+          	-84.819             	8         	4.41 H 4                 	15876                    	          	        	EC      	100.00      
140	Pr     	59 	81 	0.0000  	1+            	-84.688             	6         	3.39 M 1                 	203.4                    	          	        	EC      	100.00      
141	Pr     	59 	82 	0.0000  	5/2+          	-86.0156            	17        	STABLE                   	infinity                 	100%      	        	        	            
142	Pr     	59 	83 	0.0000  	2-            	-83.7875            	17        	19.12 H 4                	68832                    	          	        	B-      	99.98       
142	Pr     	59 	83 	0.0000  	2-            	-83.7875            	17        	19.12 H 4                	68832                    	          	        	EC      	0.02        
143	Pr     	59 	84 	0.0000  	7/2+          	-83.0682            	19        	13.57 D 2                	1172448                  	          	        	B-      	100.00      
144	Pr     	59 	85 	0.0000  	0-            	-80.751             	3         	17.28 M 5                	1036.8                   	          	        	B-      	100.00      
145	Pr     	59 	86 	0.0000  	7/2+          	-79.626             	7         	5.984 H 10               	21542.4                  	          	        	B-      	100.00      
146	Pr     	59 	87 	0.0000  	(2)-          	-76.68              	3         	24.15 M 18               	1449                     	          	        	B-      	100.00      
147	Pr     	59 	88 	0.0000  	(5/2+)        	-75.444             	16        	13.4 M 3                 	804                      	          	        	B-      	100.00      
148	Pr     	59 	89 	0.0000  	1-            	-72.535             	15        	2.29 M 2                 	137.4                    	          	        	B-      	100.00      
149	Pr     	59 	90 	0.0000  	(5/2+)        	-71.039             	10        	2.26 M 7                 	135.6                    	          	        	B-      	100.00      
150	Pr     	59 	91 	0.0000  	(1)-          	-68.300             	9         	6.19 S 16                	6.19                     	          	        	B-      	100.00      
151	Pr     	59 	92 	0.0000  	(3/2-)        	-66.780             	12        	18.90 S 7                	18.9                     	          	        	B-      	100.00      
152	Pr     	59 	93 	0.0000  	(4+)          	-63.758             	19        	3.57 S 18                	3.57                     	          	        	B-      	100.00      
153	Pr     	59 	94 	0.0000  	              	-61.568             	12        	4.28 S 11                	4.28                     	          	        	B-      	100.00      
154	Pr     	59 	95 	0.0000  	(3+)          	-58.10              	11        	2.3 S 1                  	2.3                      	          	        	B-      	100.00      
155	Pr     	59 	96 	0.0000  	              	-55.415             	17        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
156	Pr     	59 	97 	0.0000  	              	-51.57              	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
157	Pr     	59 	98 	0.0000  	              	-48.5               	3         	                         	                         	          	        	B-      	100.00      
158	Pr     	59 	99 	0.0000  	              	-44.3               	3         	                         	                         	          	        	B-      	100.00      
159	Pr     	59 	100	0.0000  	              	-41.1               	4         	                         	                         	          	        	B-      	100.00      
125	Nd     	60 	65 	0.0000  	(5/2)         	-47.6               	4         	0.65 S 15                	0.65                     	          	        	EC      	100.00      
125	Nd     	60 	65 	0.0000  	(5/2)         	-47.6               	4         	0.65 S 15                	0.65                     	          	        	EP      	&gt; 0.00      
126	Nd     	60 	66 	0.0000  	0+            	-53.0               	3         	200 NS GT                	2.0000000000000002E-7    	          	        	EC      	            
126	Nd     	60 	66 	0.0000  	0+            	-53.0               	3         	200 NS GT                	2.0000000000000002E-7    	          	        	EP      	            
127	Nd     	60 	67 	0.0000  	              	-55.5               	3         	1.8 S 4                  	1.8                      	          	        	EC      	100.00      
127	Nd     	60 	67 	0.0000  	              	-55.5               	3         	1.8 S 4                  	1.8                      	          	        	EP      	            
128	Nd     	60 	68 	0.0000  	0+            	-60.31              	20        	5 S                      	5                        	          	        	EC      	100.00      
128	Nd     	60 	68 	0.0000  	0+            	-60.31              	20        	5 S                      	5                        	          	        	EP      	?           
129	Nd     	60 	69 	0.0000  	(5/2+)        	-62.31              	20        	6.7 S 4                  	6.7                      	          	        	EP      	&gt; 0.00      
129	Nd     	60 	69 	0.0000  	(5/2+)        	-62.31              	20        	6.7 S 4                  	6.7                      	          	        	EC      	100.00      
129	Nd     	60 	69 	0.0000  	(7/2-)        	-62.31              	20        	7 S AP                   	7                        	          	        	EC      	?           
129	Nd     	60 	69 	0.0000  	(1/2+)        	-62.31              	20        	2.6 S 4                  	2.6                      	          	        	EC      	?           
129	Nd     	60 	69 	0.0000  	(1/2+)        	-62.31              	20        	2.6 S 4                  	2.6                      	          	        	EP      	?           
130	Nd     	60 	70 	0.0000  	0+            	-66.60              	3         	21 S 3                   	21                       	          	        	EC      	100.00      
131	Nd     	60 	71 	0.0000  	(5/2+)        	-67.77              	3         	25.4 S 9                 	25.4                     	          	        	EC      	100.00      
131	Nd     	60 	71 	0.0000  	(5/2+)        	-67.77              	3         	25.4 S 9                 	25.4                     	          	        	EP      	&gt; 0.00      
132	Nd     	60 	72 	0.0000  	0+            	-71.426             	24        	94 S 8                   	94                       	          	        	EC      	100.00      
133	Nd     	60 	73 	0.0000  	(7/2+)        	-72.33              	5         	70 S 10                  	70                       	          	        	EC      	100.00      
134	Nd     	60 	74 	0.0000  	0+            	-75.646             	12        	8.5 M 15                 	510                      	          	        	EC      	100.00      
135	Nd     	60 	75 	0.0000  	9/2(-)        	-76.214             	19        	12.4 M 6                 	744                      	          	        	EC      	100.00      
136	Nd     	60 	76 	0.0000  	0+            	-79.199             	12        	50.65 M 33               	3039                     	          	        	EC      	100.00      
137	Nd     	60 	77 	0.0000  	1/2+          	-79.585             	12        	38.5 M 15                	2310                     	          	        	EC      	100.00      
138	Nd     	60 	78 	0.0000  	0+            	-82.018             	12        	5.04 H 9                 	18144                    	          	        	EC      	100.00      
139	Nd     	60 	79 	0.0000  	3/2+          	-82.01              	3         	29.7 M 5                 	1782                     	          	        	EC      	100.00      
140	Nd     	60 	80 	0.0000  	0+            	-84.259             	3         	3.37 D 2                 	291168                   	          	        	EC      	100.00      
