waveobs	flux	err
422.5313439458205	0.7653123764958368	0.011600959869629326
422.53523421340134	0.7894666530168691	0.011752040329952059
422.53912340880015	0.6627396293591649	0.010776386898388344
422.5430115320098	0.43844399888638624	0.008741188111933466
422.54689858302334	0.40559981640461806	0.008420201299506103
422.5507845618339	0.6255987062084838	0.010486570416166551
422.5546694684345	0.8542249190927711	0.012304996483591213
422.55855330281867	0.8860899635677313	0.012500708534098763
422.5624360649797	0.8575141277254704	0.012313279478683846
422.56631775491144	0.8404775334807649	0.012208471213346457
422.57019837260736	0.8016437616197927	0.011951799088013441
422.5740779180616	0.8249367614178396	0.012125008596928015
422.5779563912678	0.8480897283287624	0.01230904855148907
422.58463228321745	0.8568565745390773	0.010929328001136237
422.589260065596	0.7597829689762556	0.010259723245206532
