element,wave_A,loggf,lower_state_eV,rad,stark,waals
Cl 1,6761.154,-3.04,10.653,,,
Re 1,6761.192,-2.22,2.539,,,
Ca 1,6761.192,-4.28,5.882,2.818382931264455e7,0.0018197008586099826,-6.54
Ni 2,6761.215,-5.431,14.99,3.019951720402019e8,6.918309709189363e-5,-7.37
Fe 2,6761.218,-9.744,12.968,2.0417379446695316e8,0.00031622776601683794,-7.3
Ni 2,6761.229,-3.598,14.99,3.019951720402019e8,6.165950018614822e-5,-7.37
Yb 2,6761.306,-1.68,7.064,,,
Fe 2,6761.327,-2.957,11.232,6.760829753919818e8,1.698243652461746e-6,-7.64
Ti 2,6761.328,-6.768,5.905,5.495408738576248e8,2.4547089156850284e-6,-7.64
N 3,6761.33,-3.87,42.123,,,
N 3,6761.33,-2.723,42.123,,,
Sn 2,6761.334,-0.275,8.864,,,
Fe 2,6761.381,-9.017,12.908,6.760829753919818e8,0.00021877616239495518,-7.3
Fe 2,6761.382,-9.029,12.908,6.760829753919818e8,0.00020892961308540387,-7.3
Sc 1,6761.389,-2.779,3.101,3.090295432513592e8,1.445439770745928e-5,-7.55
Fe 1,6761.403,-7.6,5.524,6.3095734448019296e7,0.00021877616239495518,-7.18
Fe 2,6761.408,-2.327,13.448,9.772372209558111e8,5.128613839913648e-6,-7.59
Ar 1,6761.429,-3.85,13.328,,,
Mn 1,6761.442,-9.89,5.556,1.584893192461111e8,8.511380382023759e-7,-7.8
Mn 1,6761.442,-9.405,5.556,1.584893192461111e8,8.511380382023759e-7,-7.8
Cu 2,6761.45,-2.742,17.114,8.511380382023759e8,3.3113112148259076e-5,-7.2
Fe 2,6761.473,-3.371,13.639,1.3182567385564048e9,4.897788193684467e-6,-7.59
Fe 1,6761.482,-3.23,5.32,1.9498445997580415e8,1.3489628825916533e-5,-7.33
Tm 2,6761.489,-2.77,4.946,,,
Mn 1,6761.497,-7.111,5.133,8.709635899560814e7,1.8197008586099827e-5,-7.34
Cu 1,6761.507,-3.278,7.514,1.348962882591656e8,0.007413102413009177,-6.75
Co 1,6761.513,-4.263,5.036,1.9952623149688828e8,5.248074602497723e-6,-7.53
Cr 1,6761.547,-5.183,6.097,6.918309709189363e7,0.00015848931924611142,-6.73
Co 3,6761.562,-3.756,13.9,7.244359600749891e8,2.0417379446695275e-7,-7.97
Ca 1,6761.568,-5.2,5.883,4.265795188015926e6,0.00588843655355589,-6.6
Ni 2,6761.572,-2.438,14.733,4.3651583224016654e8,8.51138038202376e-6,-7.49
Fe 2,6761.591,-6.695,14.021,9.772372209558111e8,4.168693834703355e-5,-7.42
Ca 1,6761.605,-5.835,5.828,8.912509381337458e6,0.003019951720402016,-6.6
Ca 1,6761.645,-4.872,5.828,8.912509381337458e6,0.003019951720402016,-6.6
Fe 2,6761.658,-7.53,14.021,9.772372209558111e8,4.265795188015926e-5,-7.42
Mn 2,6761.677,-4.522,11.33,1.0471285480508986e9,1.445439770745928e-6,-7.74
Er 2,6761.677,-1.45,2.342,,,
Fe 2,6761.697,-6.949,14.022,4.1686938347033465e8,6.165950018614822e-5,-7.42
Ni 2,6761.75,-8.432,15.026,3.311311214825908e8,2.39883291901949e-5,-7.21
Cu 2,6761.786,-1.571,17.549,3.019951720402019e8,6.760829753919819e-5,-7.09
Y 1,6761.792,-2.152,4.247,7.079457843841374e7,0.0005623413251903491,-7.12
Y 1,6761.805,-0.892,4.247,8.91250938133746e7,9.120108393559096e-5,-7.08
V 1,6761.841,-5.236,2.055,645654.2290346549,1.0232929922807537e-6,-7.78
Fe 2,6761.844,-8.266,12.946,1.8620871366628656e8,0.00026302679918953814,-7.3
Fe 2,6761.849,-6.061,12.946,1.8620871366628656e8,0.00026302679918953814,-7.3
Fe 2,6761.85,-8.002,12.946,1.8620871366628656e8,0.00025118864315095795,-7.3
Cr 2,6761.914,-5.7,11.055,9.332543007969924e8,1.3803842646028838e-6,-7.73
Cu 1,6761.97,-5.077,5.725,1.0964781961431828e8,0.018620871366628676,-6.67
Fe 2,6762.031,-1.805,11.237,1.2882495516931322e9,1.5488166189124828e-6,386.275
Cr 1,6762.046,-5.559,5.913,6.760829753919818e8,1.445439770745928e-5,-7.77
Fe 2,6762.062,-3.198,13.469,6.456542290346563e8,5.370317963702533e-6,-7.59
Ni 2,6762.065,-5.324,12.166,7.585775750291852e8,1.3803842646028838e-6,-7.77
Zn 3,6762.111,-1.037,27.36,,,
Sc 1,6762.166,-6.995,4.929,1.2589254117941661e8,1.445439770745928e-5,-7.28
Cu 1,6762.167,-6.39,5.725,1.0964781961431828e8,0.014454397707459272,-6.67
C 3,6762.17,-0.77,38.227,3.0902954325135922e9,,
Si 1,6762.18,-2.765,6.083,7.943282347242822e7,0.0005370317963702527,-6.8
Mn 1,6762.199,-8.418,6.812,2.4547089156850335e8,4.265795188015926e-5,-7.26
Fe 1,6762.209,-7.684,5.524,6.3095734448019296e7,0.00021877616239495518,-7.18
Fe 1,6762.21,-7.423,5.524,6.3095734448019296e7,0.00021877616239495518,-7.18
Mn 2,6762.235,-5.21,11.33,1.0715193052376049e9,1.479108388168207e-6,-7.74
Fe 2,6762.262,-8.497,12.908,6.760829753919818e8,0.00021379620895022324,-7.3
Fe 2,6762.265,-8.295,12.908,6.760829753919818e8,0.00020892961308540387,-7.3
Fe 2,6762.274,-4.929,11.421,7.943282347242821e8,1.5488166189124828e-6,-7.72
Cl 1,6762.289,-1.15,10.475,,,
Zr 1,6762.38,-2.66,0.0,,,
Ni 2,6762.386,-2.224,12.271,1.230268770812381e9,1.3489628825916533e-6,-7.78
Fe 2,6762.39,-3.911,11.421,,,426.274
Cr 1,6762.437,-0.348,5.282,7.413102413009177e7,6.025595860743581e-6,-7.51
Fe 2,6762.438,-0.195,13.613,3.8904514499428046e8,0.00013803842646028852,-7.28
Cr 1,6762.441,-0.273,5.28,7.762471166286911e7,6.30957344480193e-6,-7.51
Ni 3,6762.468,-4.202,26.47,3.235936569296281e9,1.8620871366628656e-7,-7.63
V 3,6762.477,-0.111,19.476,1.445439770745928e9,1.3489628825916533e-6,-7.69
V 1,6762.5,-5.379,3.888,1.0964781961431828e8,1.3803842646028838e-6,-7.65
V 2,6762.514,-3.668,9.372,7.943282347242821e8,2.691534803926914e-5,-7.57
Sc 1,6762.55,-3.357,5.059,5.495408738576248e7,0.0011481536214968829,-6.86
Ce 2,6762.551,-2.92,1.546,,,
Fe 2,6762.591,-2.916,11.487,9.120108393559115e8,4.365158322401657e-6,-7.61
Tm 2,6762.592,-2.56,4.914,,,
V 1,6762.623,-6.034,2.055,588843.6553555884,8.511380382023759e-7,-7.78
Ni 2,6762.642,-1.988,13.284,5.248074602497734e8,9.549925860214369e-6,-7.5
Fe 2,6762.653,-5.494,11.634,1.0964781961431828e9,3.3113112148259077e-6,-7.74
Fe 2,6762.676,-7.947,14.019,7.079457843841373e8,4.265795188015926e-5,-7.42
Ce 2,6762.681,-3.1,3.74,,,
Fe 2,6762.73,-6.874,12.946,1.8620871366628656e8,0.0002570395782768865,-7.3
Fe 2,6762.732,-8.116,12.946,1.8620871366628656e8,0.00025118864315095795,-7.3
Mn 1,6762.772,-8.845,5.225,1.0964781961431828e8,0.0004168693834703355,-7.08
Fe 2,6762.779,-5.925,11.487,,,407.273
Cr 2,6762.793,-3.922,9.209,8.317637711026709e8,1.8620871366628656e-6,-7.7
Co 3,6762.797,-7.939,19.434,3.235936569296281e9,4.677351412871981e-7,-7.85
Co 2,6762.839,-0.426,12.231,5.623413251903491e8,1.584893192461114e-6,-7.54
F 1,6762.902,0.28,15.364,,,
Fe 1,6762.915,-6.845,4.473,3.1622776601683795e8,5.623413251903491e-6,-7.54
Ni 1,6762.919,-2.677,5.488,3.1622776601683795e8,0.0004897788193684461,-6.99
Er 1,6762.938,0.687,2.961,,,
Al 2,6762.939,-1.01,16.544,,,
Mn 1,6762.964,-9.19,5.112,4.570881896148752e7,8.317637711026709e-5,-7.12
Cr 2,6762.967,-7.132,10.851,9.332543007969924e8,1.5135612484362072e-6,-7.72
Fe 2,6762.97,-2.714,13.595,9.332543007969924e8,4.466835921509635e-5,-7.47
Nd 1,6762.996,-0.55,1.126,,,
Fe 2,6762.997,-7.787,12.908,6.760829753919818e8,0.00020892961308540387,-7.3
Mn 1,6763.009,-3.945,5.989,4.265795188015934e8,4.365158322401657e-6,-7.63
Cr 1,6763.017,-4.848,6.033,6.3095734448019296e7,0.0007762471166286919,-6.75
Cr 1,6763.017,-4.603,6.033,6.606934480075964e7,0.005754399373371567,-6.75
Cr 1,6763.017,-4.118,6.033,6.3095734448019296e7,0.0019498445997580456,-6.75
V 3,6763.026,-2.018,19.469,1.6218100973589332e9,5.370317963702533e-7,-7.68
Ni 1,6763.045,-7.246,1.935,288403.15031266055,5.495408738576248e-7,-7.81
Mn 1,6763.058,-9.983,6.585,1.8620871366628656e8,1.8197008586099827e-5,-7.36
Fe 1,6763.061,-3.005,5.478,2.089296130854041e8,3.63078054770101e-5,-7.47
Ni 2,6763.063,-4.317,14.99,3.019951720402019e8,6.0255958607435806e-5,-7.37
Co 3,6763.072,-3.258,13.9,7.244359600749891e8,2.0417379446695275e-7,-7.97
Fe 1,6763.139,-5.005,4.473,2.884031503126612e8,6.456542290346549e-6,-7.54
Fe 1,6763.152,-7.027,5.524,6.3095734448019296e7,0.00021877616239495518,-7.18
Fe 1,6763.153,-7.602,5.524,6.3095734448019296e7,0.00021877616239495518,-7.18
Ni 2,6763.159,-8.711,11.02,6.309573444801943e8,2.0892961308540407e-6,-7.73
Fe 2,6763.162,-3.448,11.388,3.019951720402019e8,4.466835921509635e-6,262.332
Cl 2,6763.191,-2.78,18.242,,,
S 1,6763.209,-5.825,10.256,6.025595860743581e6,0.004073802778041126,-6.5
S 1,6763.209,-5.172,10.256,8.51138038202376e6,0.004073802778041126,-6.5
S 1,6763.209,-5.118,10.256,7.079457843841373e6,0.004073802778041126,-6.5
S 1,6763.209,-4.266,10.256,7.413102413009177e6,0.004073802778041126,-6.5
S 1,6763.209,-3.879,10.256,6.760829753919818e6,0.004073802778041126,-6.5
S 1,6763.209,-3.096,10.256,6.456542290346549e6,0.004073802778041126,-6.5
Cr 2,6763.278,-1.698,11.249,9.120108393559115e8,6.456542290346549e-6,-7.58
V 1,6763.282,-2.938,3.888,1.0964781961431828e8,1.3803842646028838e-6,-7.65
Ce 2,6763.291,-2.28,1.676,,,
V 1,6763.291,-7.684,1.8,1.7782794100389227e8,9.549925860214369e-7,-7.74
Ni 2,6763.305,-3.451,15.039,2.884031503126612e8,6.165950018614822e-6,-7.5
Fe 3,6763.31,-4.549,23.609,6.918309709189363e8,3.890451449942805e-7,-7.62
Cu 2,6763.335,-3.707,16.281,1.479108388168207e8,5.7543993733715664e-5,-7.42
Ni 2,6763.337,-7.299,15.024,3.8018939632056123e8,3.0199517204020192e-5,-7.21
F 1,6763.342,-0.86,15.365,,,
Cu 2,6763.345,-5.204,16.281,1.479108388168207e8,5.7543993733715664e-5,-7.42
Ti 2,6763.468,-3.823,7.845,8.709635899560796e8,2.5703957827688647e-6,-7.64
Mo 1,6763.481,-1.561,3.187,,,
Mn 2,6763.488,-13.7,0.0,0.002754228703338166,3.162277660168379e-7,-7.93
Mn 2,6763.488,-11.966,0.0,0.002754228703338166,3.162277660168379e-7,-7.93
Fe 2,6763.613,-6.303,3.425,3.46736850452531e8,3.019951720402019e-7,-7.9
Fe 1,6763.63,-8.298,5.607,6.606934480075964e7,0.00023442288153199226,-7.18
S 1,6763.667,-6.086,10.236,5.248074602497723e6,0.0031622776601683794,-6.56
S 1,6763.667,-5.758,10.236,5.495408738576248e6,0.0031622776601683794,-6.56
S 1,6763.667,-4.656,10.236,5.370317963702532e6,0.0031622776601683794,-6.56
S 1,6763.667,-3.959,10.236,6.30957344480193e6,0.00588843655355589,-6.56
S 1,6763.667,-3.199,10.236,6.165950018614822e6,0.003311311214825911,-6.56
S 1,6763.667,-2.988,10.236,5.248074602497723e6,0.0031622776601683794,-6.56
Cr 2,6763.68,-6.621,12.586,4.1686938347033465e8,1.1481536214968817e-5,-7.32
Fe 2,6763.68,-2.92,13.439,1.1220184543019652e9,4.168693834703355e-6,-7.6
Ni 1,6763.685,-0.828,5.363,8.128305161640995e8,9.120108393559096e-5,-7.34
Sc 1,6763.699,-5.051,4.942,1.4125375446227553e8,0.0003388441561392024,-6.98
Ca 1,6763.727,-6.113,5.884,6.918309709189363e6,0.0025118864315095794,-6.6
Fe 2,6763.739,-6.161,11.673,1.148153621496884e9,1.479108388168207e-6,-7.74
Nd 1,6763.801,-0.24,1.483,,,
Sc 1,6763.809,-5.842,5.897,2.3442288153199226e7,0.0007943282347242813,-6.92
Sc 1,6763.809,-5.473,5.897,2.3988329190194897e7,0.0010471285480508996,-6.9
Tm 2,6763.813,-2.76,4.66,,,
Cr 2,6763.845,-5.27,12.479,6.309573444801943e8,5.623413251903491e-5,-7.38
S 1,6763.85,-8.905,10.147,8.709635899560814e7,0.00016218100973589298,-6.77
S 1,6763.85,-8.654,10.147,9.332543007969905e7,0.0006760829753919819,-6.77
S 1,6763.85,-7.875,10.147,9.332543007969905e7,0.0006760829753919819,-6.77
S 1,6763.85,-7.767,10.147,8.709635899560814e7,0.00016218100973589298,-6.77
S 1,6763.85,-7.36,10.147,9.332543007969905e7,0.0006760829753919819,-6.77
S 1,6763.85,-7.34,10.147,8.317637711026709e7,0.0005011872336272725,-6.77
S 1,6763.85,-7.231,10.147,8.709635899560814e7,0.00016218100973589298,-6.77
S 1,6763.85,-4.996,10.257,9.120108393559096e6,0.004365158322401661,-6.49
S 1,6763.85,-4.015,10.257,8.128305161640995e6,0.004365158322401661,-6.49
S 1,6763.85,-3.306,10.257,7.5857757502918355e6,0.004365158322401661,-6.49
Fe 2,6763.866,0.253,13.629,2.691534803926914e8,2.1379620895022326e-6,-7.5
V 1,6763.886,-11.772,0.04,0.013182567385564075,7.079457843841374e-7,-7.78
V 1,6763.886,-10.313,0.04,0.013182567385564075,7.079457843841374e-7,-7.78
Ni 2,6763.905,-4.751,14.879,2.238721138568338e8,5.754399373371567e-6,-7.5
Fe 3,6763.932,-5.078,22.172,2.511886431509582e9,1.778279410038923e-6,-7.65
Fe 2,6763.946,-5.098,10.414,1.0471285480508986e9,1.4125375446227554e-6,-7.75
Ti 1,6763.963,0.081,3.441,2.089296130854041e8,3.3113112148259077e-6,-7.56
Fe 1,6764.004,-8.478,5.607,6.606934480075964e7,0.00022908676527677723,-7.18
Fe 1,6764.004,-7.348,5.607,6.606934480075964e7,0.00022908676527677723,-7.18
Fe 2,6764.007,-8.632,12.946,1.8620871366628656e8,0.00025118864315095795,-7.3
Sc 1,6764.024,-1.685,4.504,3.090295432513592e7,0.00023442288153199226,-7.04
S 1,6764.033,-7.427,10.257,7.079457843841373e6,0.004265795188015926,-6.49
S 1,6764.033,-5.567,10.257,7.413102413009177e6,0.004265795188015926,-6.49
S 1,6764.033,-5.28,10.257,7.943282347242822e6,0.004265795188015926,-6.49
S 1,6764.033,-3.935,10.257,8.912509381337458e6,0.004265795188015926,-6.49
S 1,6764.033,-3.106,10.257,7.762471166286912e6,0.004265795188015926,-6.49
Ti 1,6764.04,-6.822,4.103,1.7782794100389227e8,5.3703179637025325e-5,-7.29
Fe 1,6764.053,-6.875,5.524,6.3095734448019296e7,0.00021877616239495518,-7.18
Fe 2,6764.06,-2.842,6.803,4.1686938347033465e8,3.162277660168379e-7,206.202
Mn 2,6764.065,-6.488,12.734,5.248074602497734e8,2.0892961308540407e-6,-7.67
Fe 1,6764.107,-2.788,4.593,6.606934480075964e7,4.265795188015926e-6,-7.8
Fe 2,6764.13,-5.73,10.36,1.230268770812381e9,1.3489628825916533e-6,-7.75
Cr 2,6764.152,-4.473,11.425,9.772372209558111e8,1.698243652461746e-6,-7.71
Fe 2,6764.181,-2.886,11.125,9.120108393559115e8,1.3489628825916533e-6,-7.7
Cu 1,6764.202,-8.018,7.632,3.3113112148259077e7,0.0015135612484362087,-6.66
Ca 1,6764.233,-7.221,5.875,5.248074602497723e6,0.0023442288153199225,-6.62
Ni 2,6764.243,-5.397,15.025,3.311311214825908e8,3.0199517204020192e-5,-7.21
Ni 3,6764.266,-3.497,26.324,3.3113112148259077e9,6.165950018614822e-7,-7.62
Ni 2,6764.349,-2.109,12.853,7.762471166286927e8,2.0892961308540407e-6,-7.66
Fe 2,6764.35,-5.023,12.286,6.456542290346563e8,6.0255958607435806e-5,-7.39
Ni 2,6764.358,-2.607,14.903,4.3651583224016654e8,3.467368504525317e-5,-7.26
Mn 2,6764.362,-6.427,11.33,1.0715193052376049e9,1.3803842646028838e-6,-7.74
Cr 2,6764.381,-3.651,12.721,5.623413251903491e8,2.4547089156850286e-5,-7.32
V 1,6764.39,-5.577,3.055,1.8197008586099824e8,2.4547089156850284e-6,-7.64
Cr 1,6764.427,-3.187,5.465,2.511886431509582e8,4.5708818961487516e-5,-7.41
S 1,6764.445,-4.348,10.237,5.8884365535558835e6,0.003235936569296281,-6.56
S 1,6764.445,-4.331,10.237,6.456542290346549e6,0.006606934480075957,-6.56
S 1,6764.445,-3.921,10.237,6.606934480075965e6,0.00588843655355589,-6.56
S 1,6764.445,-3.716,10.237,6.456542290346549e6,0.003311311214825911,-6.56
S 1,6764.445,-3.627,10.237,5.623413251903491e6,0.003235936569296281,-6.56
S 1,6764.445,-3.563,10.237,5.754399373371567e6,0.003235936569296281,-6.56
Ce 1,6764.448,-1.094,0.911,,,
Fe 1,6764.502,-3.116,4.913,4.677351412871981e8,1.584893192461114e-5,-7.34
Nd 2,6764.596,-1.04,1.796,,,
Cr 1,6765.427,-0.176,5.282,7.413102413009177e7,6.165950018614822e-6,-7.51
Mg 1,6765.45,-3.53,5.753,,,
Mg 1,6765.45,-2.92,5.753,,,
Mg 1,6765.45,-1.49,5.753,,,
Ca 1,6765.579,-3.016,4.535,8.511380382023759e7,1.445439770745928e-5,-7.45
Fe 1,6765.718,-2.801,5.502,2.4547089156850335e8,1.071519305237607e-5,-7.51
Dy 1,6765.901,-0.02,2.075,,,
Fe 1,6766.096,-4.001,4.549,2.187761623949552e8,8.709635899560814e-6,-7.51
V 1,6766.519,-1.85,1.064,7.762471166286912e6,7.413102413009177e-7,294.241
Sm 2,6766.523,-2.016,1.462,,,
Ti 1,6766.532,-5.1,1.503,7.413102413009177e7,8.511380382023759e-7,-7.75
Ru 1,6766.963,-0.25,3.61,,,
Ti 1,6767.334,-1.81,3.399,8.709635899560814e7,9.120108393559096e-6,-7.55
Fe 1,6767.351,-4.325,4.559,3.981071705534969e8,6.760829753919819e-6,-7.54
Cr 2,6767.384,-0.071,11.264,6.918309709189363e8,5.623413251903491e-6,-7.57
Co 1,6767.388,-2.227,4.209,2.3988329190194947e8,3.7153522909717276e-6,-7.55
Co 1,6767.486,-2.644,3.53,5.754399373371567e7,1.096478196143185e-6,-7.73
Cr 1,6767.515,-4.037,3.449,1.8197008586099826e7,7.079457843841374e-7,-7.79
Ce 2,6767.622,-2.33,0.737,,,
Ce 1,6767.671,-1.837,0.159,,,
Fe 2,6767.748,-1.885,9.849,7.413102413009162e8,1.9054607179632483e-6,-7.68
Ni 1,6767.772,-2.14,1.826,1.2882495516931322e8,7.585775750291836e-7,-7.76
Ti 1,6767.872,-1.769,4.256,1.0964781961431828e8,6.918309709189363e-5,-7.32
Ti 1,6767.899,-3.206,3.409,7.413102413009177e7,2.754228703338169e-6,-7.49
Fe 1,6767.903,-3.429,5.902,3.8904514499428046e8,0.00046773514128719813,-6.86
Er 2,6768.413,-1.66,2.342,,,
P 1,6768.459,-1.89,8.115,,,
Cr 2,6768.608,-2.763,6.803,3.8904514499428046e8,3.3884415613920274e-7,196.212
Ti 1,6768.647,-7.815,0.048,1.3803842646028848,8.709635899560814e-7,-7.77
Cr 2,6768.938,-5.088,10.726,6.456542290346563e8,2.1379620895022326e-6,-7.66
Ce 2,6768.989,-2.48,3.822,,,
Cr 2,6769.011,-11.154,4.042,0.5888436553555889,2.187761623949552e-7,-8.02
Cr 2,6769.011,-8.833,4.042,0.5888436553555889,2.187761623949552e-7,-8.02
Ca 1,6769.039,-4.238,5.739,7.413102413009177e6,0.0016982436524617442,-6.77
Cr 2,6769.052,-9.429,12.542,3.630780547701018e8,3.3113112148259076e-5,-7.42
Ni 3,6769.094,-4.661,17.17,1.6595869074375632e9,1.8620871366628656e-7,-7.95
Cr 1,6769.099,-1.031,5.936,2.7542287033381635e8,1.584893192461114e-5,-7.3
Cr 1,6769.109,-2.43,4.855,1.1220184543019652e8,7.244359600749906e-7,-7.76
Fe 2,6769.137,-4.359,10.778,6.456542290346563e8,6.606934480075964e-6,-7.48
Ti 1,6769.138,-5.183,2.345,3.4673685045253165e7,1.0e-6,-7.77
Zr 1,6769.16,-0.94,1.53,,,
C 2,6769.199,-5.043,22.823,3.3113112148259077e9,7.943282347242822e-5,-7.22
Ni 2,6769.222,-2.968,11.453,3.8904514499428046e8,7.413102413009177e-7,-7.72
Ca 1,6769.24,-4.822,5.85,4.0738027780411304e6,0.001584893192461114,-6.58
Y 2,6769.263,-3.941,8.667,5.754399373371567e8,3.3884415613920276e-5,-7.27
Fe 2,6769.271,-1.778,10.898,4.7863009232263803e8,6.456542290346549e-6,-7.48
Fe 2,6769.272,-0.999,11.207,6.456542290346563e8,2.2387211385683376e-6,-7.62
Fe 2,6769.294,-8.033,12.855,4.265795188015934e8,0.00019054607179632462,-7.3
Fe 2,6769.294,-7.554,12.855,4.265795188015934e8,0.00018620871366628676,-7.3
Cu 2,6769.303,-4.589,16.864,3.019951720402019e8,3.5481338923357534e-5,-7.2
Ca 1,6769.32,-6.858,5.885,5.623413251903491e6,0.00588843655355589,-6.6
Fe 2,6769.467,-2.922,12.221,8.709635899560796e8,5.011872336272725e-5,-7.41
Co 1,6769.499,-3.938,5.036,1.445439770745928e8,3.5481338923357534e-5,-7.44
Fe 2,6769.505,-6.675,12.947,2.238721138568338e8,0.00025118864315095795,-7.3
Fe 1,6769.515,-9.035,5.632,2.5118864315095823e7,0.0002454708915685031,-7.18
Fe 1,6769.524,-5.824,5.813,1.1481536214968841e8,2.5118864315095822e-5,-7.12
V 1,6769.529,-3.642,3.89,1.0964781961431828e8,1.3803842646028838e-6,-7.65
He 1,6769.548,-3.673,22.719,,,
Fe 2,6769.573,-3.542,13.473,9.772372209558111e8,1.7378008287493764e-5,-7.44
Ce 2,6769.592,-2.83,0.933,,,
Fe 1,6769.605,-5.113,2.728,1.7782794100389227e8,8.709635899560814e-7,-7.76
N 1,6769.61,-1.48,11.845,,,1875.316
Fe 2,6769.614,-3.95,13.332,3.5481338923357606e8,5.623413251903491e-6,-7.47
Cl 1,6769.63,-2.37,10.63,,,
Ni 2,6769.639,-5.934,15.026,3.3884415613920206e8,3.0199517204020192e-5,-7.21
Fe 1,6769.659,-2.66,4.58,9.772372209558111e7,5.4954087385762485e-6,294.273
Fe 3,6769.676,-7.155,23.914,1.8197008586099825e9,1.2882495516931348e-5,-7.56
Cr 2,6769.685,-6.811,12.586,4.1686938347033465e8,1.0471285480508985e-5,-7.32
Si 2,6769.685,-8.456,14.793,2.29086765276777e8,6.309573444801929e-5,-7.23
Fe 1,6769.69,-3.396,5.507,1.0e8,0.00019054607179632462,-7.16
Ce 2,6769.733,-1.34,1.77,,,
Fe 1,6769.733,-9.042,5.693,6.4565422903465495e7,0.0015488166189124811,-7.01
Fe 1,6769.733,-8.218,5.693,6.4565422903465495e7,0.0015488166189124811,-7.01
V 2,6769.749,-3.573,2.762,2.187761623949552e8,3.715352290971728e-7,-7.86
Fe 3,6769.767,-6.479,23.914,1.8197008586099825e9,1.3182567385564074e-5,-7.56
Sc 1,6769.795,-1.302,3.87,2.187761623949552e8,0.00010471285480508996,-7.5
Fe 1,6769.81,-4.985,5.814,7.244359600749905e7,2.5118864315095822e-5,-7.12
Fe 1,6769.813,-9.383,5.814,6.3095734448019296e7,0.001412537544622754,-7.01
Fe 1,6769.813,-7.781,5.814,6.3095734448019296e7,0.001412537544622754,-7.01
Ti 1,6769.839,-3.167,4.031,9.772372209558111e7,5.248074602497723e-6,-7.53
Sc 1,6769.85,-1.831,3.878,3.090295432513592e8,6.456542290346549e-5,-7.58
Ti 2,6769.86,-1.846,6.645,7.585775750291852e8,2.6302679918953817e-6,-7.69
Ca 1,6769.883,-6.554,5.884,2.6302679918953814e7,0.0018197008586099826,-6.54
Hf 1,6769.923,-0.5,3.412,,,
O 2,6769.941,-3.13,31.148,,,
Mn 1,6769.967,-4.264,5.909,8.91250938133746e7,1.8197008586099827e-5,-7.58
Cr 1,6770.02,-5.955,6.182,2.9512092266663842e7,0.003715352290971724,-6.62
Tm 2,6770.024,-3.53,4.778,,,
Fe 1,6770.065,-3.866,4.435,2.3988329190194947e8,4.677351412871981e-6,-7.55
Th 2,6770.107,-2.269,1.067,,,
Ca 1,6770.139,-4.186,5.739,7.413102413009177e6,0.0016982436524617442,-6.77
Ca 1,6770.144,-4.936,5.829,1.230268770812381e7,0.003311311214825911,-6.6
Ce 1,6770.154,-1.116,1.067,,,
Mn 1,6770.155,-8.564,5.52,1.8197008586099824e8,9.549925860214369e-7,-7.78
Ni 2,6770.221,-1.699,15.072,4.073802778041122e8,8.128305161640995e-6,-7.43
Fe 1,6770.283,-8.561,5.693,6.4565422903465495e7,0.001445439770745928,-7.01
Fe 1,6770.283,-8.061,5.693,6.4565422903465495e7,0.001445439770745928,-7.01
Cu 2,6770.362,-2.907,9.125,1.258925411794166e9,2.5118864315095823e-7,-7.89
Sc 1,6770.373,-3.591,4.049,1.584893192461111e8,6.0255958607435806e-5,-7.31
Ta 1,6770.373,-1.17,2.965,,,
Fe 2,6770.435,-3.111,13.471,7.413102413009162e8,5.370317963702533e-6,-7.59
Ni 2,6770.519,-4.932,15.024,3.8018939632056123e8,3.235936569296281e-5,-7.21
Fe 2,6770.581,-7.828,12.185,3.8018939632056123e8,4.677351412871981e-5,-7.42
Fe 2,6770.601,0.381,13.588,2.238721138568338e8,3.3884415613920275e-6,-7.5
Fe 2,6770.618,-7.488,12.185,3.8018939632056123e8,4.466835921509635e-5,-7.42
Cr 2,6770.684,-3.906,11.219,1.0471285480508986e9,3.0199517204020193e-6,573.288
Fe 2,6770.718,-7.072,12.855,4.265795188015934e8,0.00018197008586099826,-7.3
V 3,6770.721,-0.418,19.711,2.0417379446695316e9,1.071519305237607e-6,-7.69
Fe 3,6770.776,-8.913,23.914,1.8197008586099825e9,1.071519305237607e-5,-7.56
Fe 2,6770.778,-6.965,12.947,2.238721138568338e8,0.0002454708915685031,-7.3
Cr 2,6770.781,-5.937,9.267,8.511380382023759e8,1.8620871366628656e-6,-7.7
Fe 2,6770.782,-6.391,12.947,2.238721138568338e8,0.00025118864315095795,-7.3
Fe 1,6770.782,-7.52,5.632,2.5118864315095823e7,0.000239883291901949,-7.18
Ca 1,6770.795,-3.75,2.933,4.8977881936844563e8,1.9054607179632483e-6,-7.65
Fe 1,6770.817,-7.995,5.693,6.4565422903465495e7,0.0013803842646028853,-7.01
Fe 2,6770.83,-2.592,11.09,1.0715193052376049e9,1.2022644346174132e-6,331.251
Mn 1,6770.856,-4.559,5.991,4.265795188015934e8,4.365158322401657e-6,-7.63
Cr 2,6770.859,-4.085,12.557,1.3803842646028867e9,8.912509381337459e-5,370.184
Cr 1,6770.872,-5.184,4.446,2.1379620895022324e8,8.912509381337459e-7,-7.68
Fe 2,6770.905,-0.357,11.196,3.019951720402019e8,2.1379620895022326e-6,-7.52
Co 1,6770.942,-2.954,1.883,3.63078054770101e7,6.165950018614822e-7,237.246
Co 1,6770.951,-3.103,1.883,3.63078054770101e7,6.165950018614822e-7,237.246
Co 1,6770.964,-3.011,1.883,3.63078054770101e7,6.165950018614822e-7,237.246
