element,wave_A,loggf,lower_state_eV,rad,stark,waals
Co 1,4206.148,-1.409,3.514,1.1481536214968841e8,1.9498445997580456e-5,-7.51
Co 1,4206.148,-2.496,2.718,1.2302687708123812e8,8.912509381337459e-7,-7.78
Ca 2,4206.176,-2.21,7.505,5.888436553555884e7,4.7863009232263804e-5,-7.17
Er 2,4206.187,-2.43,0.886,,,
Fe 1,4206.301,-1.566,4.387,1.479108388168207e8,0.00018620871366628676,-7.14
Mn 2,4206.367,-1.56,5.397,2.8183829312644494e8,3.235936569296281e-7,-7.89
Mn 1,4206.45,-2.887,4.258,2.1379620895022324e8,6.760829753919819e-7,-7.77
Ti 1,4206.458,-3.726,2.506,1.2589254117941661e8,5.888436553555884e-6,-7.45
Fe 1,4206.481,-4.062,4.559,8.511380382023759e8,1.8197008586099827e-5,-7.6
Dy 2,4206.54,-1.38,0.0,,,
Hf 2,4206.574,0.05,2.496,,,
V 1,4206.599,-0.848,2.578,2.187761623949552e8,3.8018939632056124e-5,-7.55
Rh 1,4206.613,-2.62,0.41,,,
Sm 2,4206.62,-0.83,0.544,,,
Fe 1,4206.634,-1.088,4.435,1.4125375446227553e8,0.0001148153621496883,-7.17
Th 2,4206.657,-0.48,2.197,,,
Y 1,4206.694,-1.87,1.919,3.63078054770101e7,1.9054607179632484e-5,-7.48
Fe 1,4206.697,-3.96,0.052,4265.795188015925,6.760829753919819e-7,221.248
Pr 2,4206.716,0.409,0.55,,,
Sc 1,4206.777,-1.405,1.996,1.3803842646028867e8,4.168693834703355e-5,-7.55
Ce 2,4206.827,-1.84,0.902,,,
Cr 1,4206.896,-0.382,4.618,1.9952623149688828e8,1.4125375446227554e-6,-7.72
Ca 1,4206.936,-1.429,4.744,8.128305161640996e7,0.003630780547701014,-6.52
Ca 1,4207.023,-2.728,4.739,7.943282347242822e7,0.004570881896148752,-6.53
Ce 2,4207.028,-2.47,0.704,,,
W 1,4207.045,0.01,2.436,,,
Mn 2,4207.092,-3.142,5.348,4.3651583224016654e8,2.6302679918953816e-7,-7.88
Fe 1,4207.127,-1.46,2.832,4.78630092322638e7,6.918309709189363e-7,227.262
Ca 1,4207.196,-1.645,4.735,8.317637711026709e7,0.0044668359215096305,-6.53
Mn 2,4207.234,-4.423,1.833,3.1622776601683795e8,2.691534803926914e-7,-7.89
Ce 2,4207.252,-1.75,1.014,,,
Sc 1,4207.27,-1.104,2.001,1.348962882591656e8,4.168693834703355e-5,-7.55
Ce 2,4207.304,-2.35,1.254,,,
Cr 2,4207.363,-2.731,3.827,2.3442288153199178e8,3.235936569296281e-7,201.256
Ti 1,4207.371,-4.12,2.25,1.3803842646028839e7,6.760829753919819e-5,-7.46
Ca 1,4207.379,-2.291,4.78,2.5703957827688646e8,0.003715352290971724,-6.62
Fe 1,4207.439,-1.584,4.593,2.9512092266663903e8,0.00014791083881682073,-7.1
Fe 2,4207.493,-5.54,4.738,2.8183829312644494e8,3.019951720402019e-7,-7.9
Ce 2,4207.588,-1.59,1.365,,,
Co 1,4207.614,-2.16,2.7,4.265795188015926e6,5.62341325190349e-7,-7.82
Ru 1,4207.633,-0.59,1.838,,,
Cr 1,4207.65,-1.837,4.824,7.244359600749905e7,8.709635899560814e-5,-7.19
Dy 1,4207.69,-0.26,1.142,,,
Ti 1,4207.727,-3.225,2.695,5.888436553555884e7,9.332543007969906e-6,-7.45
Fe 2,4207.862,-0.838,11.289,1.9054607179632443e8,8.128305161640995e-6,-7.35
Mn 2,4207.879,-3.195,5.398,2.8183829312644494e8,3.235936569296281e-7,-7.89
Fe 1,4207.911,-4.566,4.294,6.3095734448019296e7,1.5135612484362071e-5,-7.42
V 1,4207.932,-3.46,1.942,1.8197008586099824e8,2.4547089156850284e-6,-7.64
Gd 1,4208.085,-0.611,0.812,,,
Nb 1,4208.152,-1.61,0.019,,,
Fe 2,4208.16,-1.328,11.05,2.5703957827688646e8,1.9054607179632484e-5,-7.31
Fe 1,4208.221,-3.721,4.435,7.079457843841373e8,4.897788193684466e-5,-7.45
Ce 2,4208.238,0.0,2.589,,,
Ti 1,4208.272,-2.396,2.427,1.0715193052376048e8,6.456542290346549e-6,-7.46
V 1,4208.295,-1.792,2.565,9.332543007969905e7,1.1748975549395302e-5,-7.45
Pr 2,4208.315,-0.549,0.216,,,
Cr 1,4208.354,-0.835,3.85,6.4565422903465495e7,7.079457843841374e-7,-7.78
Co 1,4208.391,-1.842,3.713,1.5135612484362072e8,3.548133892335753e-6,-7.56
Fe 1,4208.428,-3.247,4.435,2.511886431509582e8,5.011872336272725e-5,-7.31
Cr 1,4208.509,-2.176,4.613,6.606934480075964e7,9.120108393559096e-6,-7.53
Cr 1,4208.519,-2.757,2.967,2.238721138568338e6,2.0417379446695273e-6,-7.78
Ni 1,4208.546,-4.281,3.833,8.91250938133746e7,0.00010964781961431851,-7.27
Fe 1,4208.56,-2.962,4.387,1.584893192461111e8,0.0001412537544622754,-7.14
Co 1,4208.583,-1.747,3.622,8.317637711026709e7,1.9054607179632484e-5,-7.45
Co 2,4208.592,-3.328,2.681,3.46736850452531e8,2.754228703338169e-7,-7.91
Fe 1,4208.593,-2.41,3.397,1.5488166189124796e8,6.760829753919819e-6,-7.54
Fe 1,4208.604,-1.364,3.397,2.3442288153199178e8,9.332543007969906e-6,-7.54
Ce 2,4208.687,-2.29,0.902,,,
Gd 2,4208.745,-1.78,1.06,,,
Co 1,4208.745,-1.093,3.713,1.3182567385564047e8,4.897788193684467e-6,-7.55
Fe 1,4208.855,-3.566,4.435,1.5135612484362072e8,0.0001230268770812381,-7.14
Th 2,4208.891,-0.738,0.831,,,
Ca 1,4208.937,-2.882,4.744,8.128305161640996e7,0.0044668359215096305,-6.52
Cr 1,4208.953,-0.528,3.849,6.918309709189363e7,7.943282347242822e-7,-7.78
Zr 2,4208.98,-0.51,0.713,,,
Cr 2,4209.094,-2.379,5.319,2.089296130854041e8,3.311311214825908e-7,188.22
V 2,4209.099,-2.219,4.02,2.5703957827688646e8,3.4673685045253164e-7,-7.84
Mn 2,4209.137,-3.705,5.548,4.7863009232263803e8,3.235936569296281e-7,-7.87
Cr 1,4209.173,-1.388,3.85,6.918309709189363e7,7.943282347242822e-7,-7.78
Cr 1,4209.209,-1.718,4.824,8.91250938133746e7,6.0255958607435806e-5,-7.27
Ca 1,4209.343,-2.072,4.554,2.9512092266663842e7,6.456542290346549e-5,-6.87
Cr 1,4209.365,0.157,3.85,1.8620871366628656e8,6.760829753919819e-7,-7.74
Ce 2,4209.406,-0.61,0.684,,,
Ce 2,4209.417,-1.31,0.735,,,
Co 1,4209.494,-2.378,3.514,1.1220184543019652e8,2.6302679918953814e-5,-7.51
Fe 2,4209.572,-2.881,7.806,1.0e9,2.0892961308540407e-6,415.285
Fe 1,4209.601,-3.344,4.103,2.3988329190194947e8,3.7153522909717276e-6,-7.3
Cr 2,4209.601,-3.236,6.285,3.311311214825908e8,3.311311214825908e-7,189.237
Mo 2,4209.648,-1.415,3.114,,,
Mn 1,4209.657,-1.498,4.679,8.317637711026709e7,6.760829753919819e-7,-7.77
Cr 1,4209.659,-2.433,4.535,1.0e8,1.778279410038923e-5,-7.44
Y 1,4209.7,-0.171,2.717,1.9498445997580415e8,4.07380277804113e-5,-7.27
C 1,4209.717,-4.769,7.946,3.090295432513592e8,0.0014791083881682072,-7.06
Hf 1,4209.743,-0.38,1.803,,,
V 2,4209.759,-1.887,1.675,3.235936569296281e8,3.4673685045253164e-7,-7.86
Fe 2,4209.775,-1.43,11.051,4.570881896148752e8,1.9054607179632484e-5,-7.31
Cr 2,4209.807,-2.838,5.67,3.715352290971728e8,3.311311214825908e-7,194.275
Fe 1,4209.828,-1.223,4.32,1.621810097358933e8,0.00019952623149688788,-7.28
V 1,4209.847,-1.377,0.301,8.511380382023759e7,1.096478196143185e-6,328.251
Mn 1,4209.856,-3.776,2.941,5.754399373371567e6,1.0471285480508985e-5,-7.62
Ce 2,4209.88,-2.62,0.521,,,
Sc 1,4209.883,-1.191,2.01,1.348962882591656e8,4.07380277804113e-5,-7.55
Ti 1,4209.907,-3.402,1.749,1.0471285480508985e8,2.1877616239495517e-6,-7.7
Fe 1,4209.909,-2.913,4.103,2.4547089156850335e8,4.265795188015926e-5,-7.29
C 1,4209.913,-4.82,7.946,3.090295432513592e8,0.00017782794100389227,-7.06
Ni 1,4209.922,-2.615,3.833,8.709635899560814e7,0.00010964781961431851,-7.27
Ce 2,4209.992,-0.93,0.655,,,
Ce 2,4210.011,-1.51,1.533,,,
Ti 1,4210.023,-5.012,2.16,1.5135612484362072e8,1.122018454301963e-5,-7.59
Co 1,4210.086,-1.515,3.713,1.3182567385564047e8,8.51138038202376e-6,-7.53
Ni 1,4210.129,-2.877,4.105,3.090295432513592e8,4.570881896148752e-6,-7.53
Ni 1,4210.201,-3.435,3.834,4.466835921509635e7,0.00013182567385564074,-7.27
Ce 2,4210.233,-1.44,0.792,,,
Cr 1,4210.25,0.141,3.85,6.918309709189363e7,7.943282347242822e-7,-7.78
Fe 1,4210.251,-2.831,4.387,1.4125375446227553e8,0.00015135612484362088,-7.12
Sm 2,4210.34,-0.96,0.104,,,
Fe 1,4210.343,-0.928,2.482,1.5135612484362072e8,3.890451449942805e-6,766.234
Fe 1,4210.383,-1.242,3.071,2.4547089156850335e8,1.6595869074375596e-6,-7.71
V 1,4210.401,-1.058,2.295,9.549925860214369e7,4.7863009232263804e-5,-7.53
V 1,4210.432,-1.928,1.893,3.090295432513592e7,1.071519305237607e-6,-7.77
Cr 1,4210.437,-2.155,3.85,1.8620871366628656e8,6.760829753919819e-7,-7.74
U 2,4210.441,-1.864,0.217,,,
Ca 1,4210.444,-1.622,4.744,8.128305161640996e7,0.009332543007969915,-6.52
V 2,4210.495,-4.751,1.687,2.4547089156850335e8,3.235936569296281e-7,-7.87
Mn 1,4210.497,-1.504,4.679,8.91250938133746e7,9.549925860214369e-7,-7.77
Zr 2,4210.609,-1.19,1.665,,,
Cr 1,4210.618,-3.81,3.89,2.8840315031266056e7,6.30957344480193e-7,-7.73
Cr 1,4210.759,-1.785,3.0,4.0738027780411304e6,6.30957344480193e-7,-7.79
Th 1,4210.765,-0.79,0.967,,,
V 1,4210.768,-2.08,2.278,9.549925860214369e7,5.3703179637025325e-5,-7.53
V 1,4210.851,-0.765,2.581,2.187761623949552e8,3.8018939632056124e-5,-7.55
Fe 1,4210.885,-2.089,4.473,1.2882495516931322e8,0.00015135612484362088,-7.13
Mo 1,4210.891,-1.847,2.934,,,
Ni 1,4210.916,-2.024,3.847,1.479108388168207e8,0.000239883291901949,-7.28
Th 1,4210.923,-1.371,0.0,,,
Ag 1,4210.956,-0.381,3.778,,,
Nd 3,4211.003,-2.43,0.141,,,
Ca 1,4211.01,-1.453,4.739,8.317637711026709e7,0.003981071705534973,-6.53
Mo 1,4211.015,-1.845,2.076,,,
Cr 2,4211.08,-2.976,5.33,3.46736850452531e8,3.311311214825908e-7,191.239
Fe 2,4211.106,-8.785,0.301,0.22387211385683395,3.019951720402019e-7,-7.94
Rh 1,4211.133,-0.36,0.706,,,
Ti 1,4211.271,-2.284,1.887,1.8620871366628656e8,8.709635899560814e-7,-7.68
Ho 2,4211.29,-1.7,0.725,,,
Nd 2,4211.29,-0.86,0.205,,,
Co 2,4211.302,-2.166,5.036,6.025595860743569e8,2.951209226666384e-7,-7.89
Zr 1,4211.318,-0.23,1.822,,,
Cr 1,4211.366,-1.203,3.087,2.1379620895022325e7,6.918309709189363e-7,-7.8
